> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
2 Producers and 2 Consumers to be initilized 

| Produced ->2     | Thread-1      | Store Id ->1    | Sale Amt. ->507.08447        
| Consumed ->2     | Thread-2      | Store Id ->1    | Sale Amt. ->507.08447        
| Produced ->2     | Thread-0      | Store Id ->0    | Sale Amt. ->856.77765        
| Consumed ->2     | Thread-3      | Store Id ->0    | Sale Amt. ->856.77765        
| Produced ->4     | Thread-1      | Store Id ->1    | Sale Amt. ->216.52135        
| Produced ->4     | Thread-0      | Store Id ->0    | Sale Amt. ->891.16693        
| Consumed ->4     | Thread-2      | Store Id ->0    | Sale Amt. ->891.16693        
| Consumed ->4     | Thread-3      | Store Id ->1    | Sale Amt. ->216.52135        
| Produced ->5     | Thread-1      | Store Id ->1    | Sale Amt. ->881.9241        
| Consumed ->5     | Thread-2      | Store Id ->1    | Sale Amt. ->881.9241        
| Produced ->6     | Thread-0      | Store Id ->0    | Sale Amt. ->913.9465        
| Consumed ->6     | Thread-3      | Store Id ->0    | Sale Amt. ->913.9465        
| Produced ->6     | Thread-1      | Store Id ->1    | Sale Amt. ->253.54996        
| Consumed ->7     | Thread-2      | Store Id ->1    | Sale Amt. ->253.54996        
| Produced ->9     | Thread-0      | Store Id ->0    | Sale Amt. ->14.715249        
| Consumed ->9     | Thread-2      | Store Id ->0    | Sale Amt. ->14.715249        
| Consumed ->9     | Thread-3      | Store Id ->1    | Sale Amt. ->512.8913        
| Produced ->9     | Thread-1      | Store Id ->1    | Sale Amt. ->512.8913        
| Produced ->11     | Thread-0      | Store Id ->0    | Sale Amt. ->329.532        
| Produced ->11     | Thread-1      | Store Id ->1    | Sale Amt. ->58.741215        
| Consumed ->11     | Thread-2      | Store Id ->1    | Sale Amt. ->58.741215        
| Consumed ->11     | Thread-3      | Store Id ->0    | Sale Amt. ->329.532        
| Produced ->12     | Thread-0      | Store Id ->0    | Sale Amt. ->928.08673        
| Consumed ->12     | Thread-3      | Store Id ->0    | Sale Amt. ->928.08673        
| Produced ->12     | Thread-1      | Store Id ->1    | Sale Amt. ->383.39273        
| Consumed ->13     | Thread-2      | Store Id ->1    | Sale Amt. ->383.39273        
| Produced ->13     | Thread-0      | Store Id ->0    | Sale Amt. ->38.225155        
| Consumed ->14     | Thread-3      | Store Id ->0    | Sale Amt. ->38.225155        
| Produced ->14     | Thread-1      | Store Id ->1    | Sale Amt. ->250.10889        
| Produced ->14     | Thread-0      | Store Id ->0    | Sale Amt. ->514.5252        
| Consumed ->16     | Thread-2      | Store Id ->0    | Sale Amt. ->514.5252        
| Consumed ->16     | Thread-3      | Store Id ->1    | Sale Amt. ->250.10889        
| Produced ->17     | Thread-1      | Store Id ->1    | Sale Amt. ->123.136925        
| Produced ->17     | Thread-0      | Store Id ->0    | Sale Amt. ->569.2211        
| Consumed ->17     | Thread-2      | Store Id ->1    | Sale Amt. ->123.136925        
| Consumed ->18     | Thread-3      | Store Id ->0    | Sale Amt. ->569.2211        
| Produced ->20     | Thread-0      | Store Id ->0    | Sale Amt. ->929.32324        
| Consumed ->20     | Thread-3      | Store Id ->0    | Sale Amt. ->929.32324        
| Produced ->20     | Thread-1      | Store Id ->1    | Sale Amt. ->376.99744        
| Consumed ->20     | Thread-2      | Store Id ->1    | Sale Amt. ->376.99744        
| Produced ->20     | Thread-0      | Store Id ->0    | Sale Amt. ->249.95847        
| Consumed ->21     | Thread-3      | Store Id ->0    | Sale Amt. ->249.95847        
| Produced ->23     | Thread-1      | Store Id ->1    | Sale Amt. ->1.4715368        
| Consumed ->23     | Thread-2      | Store Id ->1    | Sale Amt. ->1.4715368        
| Consumed ->23     | Thread-3      | Store Id ->0    | Sale Amt. ->128.70694        
| Produced ->23     | Thread-0      | Store Id ->0    | Sale Amt. ->128.70694        
| Produced ->23     | Thread-1      | Store Id ->1    | Sale Amt. ->821.82806        
| Consumed ->24     | Thread-2      | Store Id ->1    | Sale Amt. ->821.82806        
| Produced ->24     | Thread-0      | Store Id ->0    | Sale Amt. ->464.22974        
| Consumed ->25     | Thread-3      | Store Id ->0    | Sale Amt. ->464.22974        
| Produced ->26     | Thread-0      | Store Id ->0    | Sale Amt. ->590.3899        
| Consumed ->26     | Thread-2      | Store Id ->0    | Sale Amt. ->590.3899        
| Produced ->26     | Thread-1      | Store Id ->1    | Sale Amt. ->895.77277        
| Consumed ->27     | Thread-2      | Store Id ->1    | Sale Amt. ->895.77277        
| Produced ->27     | Thread-0      | Store Id ->0    | Sale Amt. ->622.06647        
| Consumed ->28     | Thread-3      | Store Id ->0    | Sale Amt. ->622.06647        
| Produced ->28     | Thread-0      | Store Id ->0    | Sale Amt. ->294.7911        
| Produced ->28     | Thread-1      | Store Id ->1    | Sale Amt. ->32.01281        
| Consumed ->29     | Thread-2      | Store Id ->0    | Sale Amt. ->294.7911        
| Consumed ->30     | Thread-3      | Store Id ->1    | Sale Amt. ->32.01281        
| Produced ->30     | Thread-1      | Store Id ->1    | Sale Amt. ->469.04614        
| Produced ->30     | Thread-0      | Store Id ->0    | Sale Amt. ->465.39807        
| Consumed ->31     | Thread-2      | Store Id ->1    | Sale Amt. ->469.04614        
| Consumed ->32     | Thread-3      | Store Id ->0    | Sale Amt. ->465.39807        
| Produced ->32     | Thread-1      | Store Id ->1    | Sale Amt. ->713.4888        
| Consumed ->34     | Thread-3      | Store Id ->1    | Sale Amt. ->713.4888        
| Produced ->34     | Thread-0      | Store Id ->0    | Sale Amt. ->120.6908        
| Consumed ->34     | Thread-2      | Store Id ->0    | Sale Amt. ->120.6908        
| Produced ->35     | Thread-1      | Store Id ->1    | Sale Amt. ->267.99493        
| Consumed ->35     | Thread-3      | Store Id ->1    | Sale Amt. ->267.99493        
| Produced ->36     | Thread-0      | Store Id ->0    | Sale Amt. ->736.0498        
| Consumed ->36     | Thread-2      | Store Id ->0    | Sale Amt. ->736.0498        
| Produced ->37     | Thread-1      | Store Id ->1    | Sale Amt. ->945.90936        
| Consumed ->37     | Thread-3      | Store Id ->1    | Sale Amt. ->945.90936        
| Produced ->37     | Thread-1      | Store Id ->1    | Sale Amt. ->646.50885        
| Produced ->37     | Thread-0      | Store Id ->0    | Sale Amt. ->395.03516        
| Consumed ->39     | Thread-2      | Store Id ->1    | Sale Amt. ->646.50885        
| Consumed ->39     | Thread-3      | Store Id ->0    | Sale Amt. ->395.03516        
| Produced ->39     | Thread-0      | Store Id ->0    | Sale Amt. ->870.08777        
| Produced ->39     | Thread-1      | Store Id ->1    | Sale Amt. ->315.35318        
| Consumed ->40     | Thread-3      | Store Id ->0    | Sale Amt. ->870.08777        
| Consumed ->41     | Thread-2      | Store Id ->1    | Sale Amt. ->315.35318        
| Produced ->41     | Thread-0      | Store Id ->0    | Sale Amt. ->573.6968        
| Produced ->41     | Thread-1      | Store Id ->1    | Sale Amt. ->360.41327        
| Produced ->41     | Thread-1      | Store Id ->1    | Sale Amt. ->342.4737        
| Consumed ->42     | Thread-2      | Store Id ->1    | Sale Amt. ->360.41327        
| Produced ->42     | Thread-0      | Store Id ->0    | Sale Amt. ->993.8744        
| Consumed ->43     | Thread-3      | Store Id ->0    | Sale Amt. ->573.6968        
| Produced ->43     | Thread-0      | Store Id ->0    | Sale Amt. ->655.94635        
| Consumed ->44     | Thread-3      | Store Id ->1    | Sale Amt. ->342.4737        
| Produced ->44     | Thread-1      | Store Id ->1    | Sale Amt. ->490.60553        
| Consumed ->45     | Thread-2      | Store Id ->0    | Sale Amt. ->993.8744        
| Produced ->45     | Thread-0      | Store Id ->0    | Sale Amt. ->461.78107        
| Produced ->45     | Thread-1      | Store Id ->1    | Sale Amt. ->457.4455        
| Consumed ->46     | Thread-3      | Store Id ->0    | Sale Amt. ->655.94635        
| Produced ->46     | Thread-1      | Store Id ->1    | Sale Amt. ->244.03117        
| Consumed ->47     | Thread-3      | Store Id ->1    | Sale Amt. ->490.60553        
| Produced ->47     | Thread-1      | Store Id ->1    | Sale Amt. ->90.28953        
| Produced ->47     | Thread-0      | Store Id ->0    | Sale Amt. ->432.26108        
| Consumed ->48     | Thread-2      | Store Id ->0    | Sale Amt. ->461.78107        
| Consumed ->49     | Thread-2      | Store Id ->1    | Sale Amt. ->457.4455        
| Consumed ->50     | Thread-3      | Store Id ->1    | Sale Amt. ->244.03117        
| Produced ->50     | Thread-1      | Store Id ->1    | Sale Amt. ->331.38507        
| Produced ->50     | Thread-0      | Store Id ->0    | Sale Amt. ->240.81334        
| Consumed ->51     | Thread-3      | Store Id ->1    | Sale Amt. ->90.28953        
| Produced ->51     | Thread-0      | Store Id ->0    | Sale Amt. ->196.53096        
| Produced ->51     | Thread-1      | Store Id ->1    | Sale Amt. ->169.156        
| Consumed ->52     | Thread-2      | Store Id ->0    | Sale Amt. ->432.26108        
| Consumed ->53     | Thread-2      | Store Id ->1    | Sale Amt. ->331.38507        
| Produced ->53     | Thread-1      | Store Id ->1    | Sale Amt. ->84.09339        
| Consumed ->54     | Thread-3      | Store Id ->0    | Sale Amt. ->240.81334        
| Consumed ->55     | Thread-2      | Store Id ->0    | Sale Amt. ->196.53096        
| Produced ->55     | Thread-0      | Store Id ->0    | Sale Amt. ->378.05472        
| Consumed ->56     | Thread-3      | Store Id ->1    | Sale Amt. ->169.156        
| Produced ->56     | Thread-1      | Store Id ->1    | Sale Amt. ->877.8523        
| Produced ->56     | Thread-0      | Store Id ->0    | Sale Amt. ->224.03806        
| Produced ->56     | Thread-1      | Store Id ->1    | Sale Amt. ->787.1361        
| Consumed ->58     | Thread-2      | Store Id ->0    | Sale Amt. ->378.05472        
| Consumed ->57     | Thread-3      | Store Id ->1    | Sale Amt. ->84.09339        
| Produced ->58     | Thread-1      | Store Id ->1    | Sale Amt. ->513.6698        
| Produced ->58     | Thread-0      | Store Id ->0    | Sale Amt. ->224.58316        
| Consumed ->59     | Thread-2      | Store Id ->1    | Sale Amt. ->877.8523        
| Consumed ->60     | Thread-3      | Store Id ->0    | Sale Amt. ->224.03806        
| Produced ->60     | Thread-1      | Store Id ->1    | Sale Amt. ->49.18735        
| Produced ->60     | Thread-0      | Store Id ->0    | Sale Amt. ->920.52325        
| Consumed ->61     | Thread-3      | Store Id ->1    | Sale Amt. ->787.1361        
| Consumed ->62     | Thread-3      | Store Id ->1    | Sale Amt. ->513.6698        
| Produced ->62     | Thread-0      | Store Id ->0    | Sale Amt. ->485.89084        
| Consumed ->63     | Thread-2      | Store Id ->0    | Sale Amt. ->224.58316        
| Produced ->63     | Thread-1      | Store Id ->1    | Sale Amt. ->179.32199        
| Consumed ->64     | Thread-3      | Store Id ->1    | Sale Amt. ->49.18735        
| Produced ->64     | Thread-0      | Store Id ->0    | Sale Amt. ->421.6872        
| Consumed ->65     | Thread-3      | Store Id ->0    | Sale Amt. ->920.52325        
| Produced ->65     | Thread-1      | Store Id ->1    | Sale Amt. ->403.8158        
| Consumed ->66     | Thread-2      | Store Id ->0    | Sale Amt. ->485.89084        
| Consumed ->67     | Thread-3      | Store Id ->1    | Sale Amt. ->179.32199        
| Produced ->67     | Thread-1      | Store Id ->1    | Sale Amt. ->942.4784        
| Consumed ->68     | Thread-2      | Store Id ->0    | Sale Amt. ->421.6872        
| Produced ->68     | Thread-0      | Store Id ->0    | Sale Amt. ->50.28882        
| Produced ->68     | Thread-1      | Store Id ->1    | Sale Amt. ->371.6332        
| Consumed ->69     | Thread-3      | Store Id ->1    | Sale Amt. ->403.8158        
| Produced ->69     | Thread-1      | Store Id ->1    | Sale Amt. ->941.14545        
| Consumed ->70     | Thread-3      | Store Id ->1    | Sale Amt. ->942.4784        
| Produced ->70     | Thread-0      | Store Id ->0    | Sale Amt. ->863.5463        
| Consumed ->71     | Thread-2      | Store Id ->0    | Sale Amt. ->50.28882        
| Consumed ->72     | Thread-3      | Store Id ->1    | Sale Amt. ->371.6332        
| Produced ->72     | Thread-0      | Store Id ->0    | Sale Amt. ->605.22766        
| Consumed ->73     | Thread-3      | Store Id ->1    | Sale Amt. ->941.14545        
| Produced ->73     | Thread-1      | Store Id ->1    | Sale Amt. ->908.874        
| Produced ->73     | Thread-0      | Store Id ->0    | Sale Amt. ->300.31442        
| Consumed ->74     | Thread-2      | Store Id ->0    | Sale Amt. ->863.5463        
| Produced ->74     | Thread-1      | Store Id ->1    | Sale Amt. ->339.95322        
| Consumed ->75     | Thread-3      | Store Id ->0    | Sale Amt. ->605.22766        
| Produced ->75     | Thread-0      | Store Id ->0    | Sale Amt. ->586.63275        
| Consumed ->76     | Thread-3      | Store Id ->1    | Sale Amt. ->908.874        
| Consumed ->77     | Thread-3      | Store Id ->0    | Sale Amt. ->300.31442        
| Consumed ->78     | Thread-2      | Store Id ->1    | Sale Amt. ->339.95322        
| Produced ->78     | Thread-0      | Store Id ->0    | Sale Amt. ->220.76845        
| Produced ->78     | Thread-1      | Store Id ->1    | Sale Amt. ->699.8699        
