> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
2 Producers and 5 Consumers to be initilized 

| Consumed ->5     | Thread-5      | Store Id ->0    | Sale Amt. ->43.91056        
| Produced ->5     | Thread-0      | Store Id ->0    | Sale Amt. ->43.91056        
| Produced ->5     | Thread-1      | Store Id ->1    | Sale Amt. ->828.30615        
| Consumed ->5     | Thread-6      | Store Id ->1    | Sale Amt. ->828.30615        
| Produced ->5     | Thread-1      | Store Id ->1    | Sale Amt. ->881.03375        
| Consumed ->5     | Thread-2      | Store Id ->1    | Sale Amt. ->881.03375        
| Consumed ->5     | Thread-4      | Store Id ->0    | Sale Amt. ->453.79358        
| Produced ->5     | Thread-0      | Store Id ->0    | Sale Amt. ->453.79358        
| Produced ->9     | Thread-1      | Store Id ->1    | Sale Amt. ->390.26617        
| Consumed ->9     | Thread-4      | Store Id ->1    | Sale Amt. ->390.26617        
| Consumed ->9     | Thread-3      | Store Id ->0    | Sale Amt. ->344.11414        
| Produced ->9     | Thread-0      | Store Id ->0    | Sale Amt. ->344.11414        
| Produced ->10     | Thread-1      | Store Id ->1    | Sale Amt. ->789.7803        
| Consumed ->10     | Thread-3      | Store Id ->1    | Sale Amt. ->789.7803        
| Produced ->10     | Thread-0      | Store Id ->0    | Sale Amt. ->492.23764        
| Consumed ->10     | Thread-6      | Store Id ->0    | Sale Amt. ->492.23764        
| Produced ->12     | Thread-1      | Store Id ->1    | Sale Amt. ->678.04016        
| Consumed ->12     | Thread-3      | Store Id ->1    | Sale Amt. ->678.04016        
| Produced ->13     | Thread-0      | Store Id ->0    | Sale Amt. ->717.65015        
| Consumed ->13     | Thread-6      | Store Id ->0    | Sale Amt. ->717.65015        
| Produced ->13     | Thread-1      | Store Id ->1    | Sale Amt. ->613.00006        
| Consumed ->13     | Thread-4      | Store Id ->1    | Sale Amt. ->613.00006        
| Produced ->13     | Thread-0      | Store Id ->0    | Sale Amt. ->788.8661        
| Consumed ->13     | Thread-5      | Store Id ->0    | Sale Amt. ->788.8661        
| Produced ->16     | Thread-0      | Store Id ->0    | Sale Amt. ->752.0376        
| Consumed ->16     | Thread-4      | Store Id ->0    | Sale Amt. ->752.0376        
| Consumed ->16     | Thread-2      | Store Id ->1    | Sale Amt. ->26.056816        
| Produced ->16     | Thread-1      | Store Id ->1    | Sale Amt. ->26.056816        
| Produced ->17     | Thread-0      | Store Id ->0    | Sale Amt. ->370.41913        
| Consumed ->17     | Thread-5      | Store Id ->0    | Sale Amt. ->370.41913        
| Produced ->20     | Thread-1      | Store Id ->1    | Sale Amt. ->797.5882        
| Consumed ->20     | Thread-4      | Store Id ->1    | Sale Amt. ->797.5882        
| Produced ->20     | Thread-0      | Store Id ->0    | Sale Amt. ->642.2367        
| Consumed ->20     | Thread-6      | Store Id ->0    | Sale Amt. ->642.2367        
