Starting a Gradle Daemon, 5 busy Daemons could not be reused, use --status for details
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
5 Producers and 2 Consumers to be initilized 

| Produced ->2     | Thread-3      | Store Id ->3    | Sale Amt. ->245.76694        
| Produced ->2     | Thread-1      | Store Id ->1    | Sale Amt. ->186.46143        
| Produced ->2     | Thread-2      | Store Id ->2    | Sale Amt. ->945.2205        
| Produced ->2     | Thread-0      | Store Id ->0    | Sale Amt. ->577.48596        
| Consumed ->2     | Thread-5      | Store Id ->4    | Sale Amt. ->388.27176        
| Produced ->2     | Thread-4      | Store Id ->4    | Sale Amt. ->388.27176        
| Consumed ->2     | Thread-6      | Store Id ->0    | Sale Amt. ->577.48596        
| Produced ->2     | Thread-1      | Store Id ->1    | Sale Amt. ->159.68007        
| Produced ->2     | Thread-4      | Store Id ->4    | Sale Amt. ->671.02673        
| Consumed ->3     | Thread-6      | Store Id ->1    | Sale Amt. ->186.46143        
| Produced ->3     | Thread-3      | Store Id ->3    | Sale Amt. ->444.45026        
| Produced ->4     | Thread-2      | Store Id ->2    | Sale Amt. ->926.61957        
| Consumed ->4     | Thread-5      | Store Id ->2    | Sale Amt. ->945.2205        
| Consumed ->5     | Thread-6      | Store Id ->3    | Sale Amt. ->245.76694        
| Produced ->5     | Thread-0      | Store Id ->0    | Sale Amt. ->565.7461        
| Consumed ->6     | Thread-6      | Store Id ->1    | Sale Amt. ->159.68007        
| Produced ->6     | Thread-1      | Store Id ->1    | Sale Amt. ->816.5825        
| Consumed ->7     | Thread-5      | Store Id ->4    | Sale Amt. ->671.02673        
| Produced ->7     | Thread-3      | Store Id ->3    | Sale Amt. ->109.61589        
| Consumed ->8     | Thread-6      | Store Id ->3    | Sale Amt. ->444.45026        
| Produced ->8     | Thread-2      | Store Id ->2    | Sale Amt. ->981.49585        
| Consumed ->9     | Thread-5      | Store Id ->2    | Sale Amt. ->926.61957        
| Produced ->9     | Thread-0      | Store Id ->0    | Sale Amt. ->924.71075        
| Produced ->10     | Thread-1      | Store Id ->1    | Sale Amt. ->685.1518        
| Consumed ->10     | Thread-6      | Store Id ->0    | Sale Amt. ->565.7461        
| Consumed ->11     | Thread-5      | Store Id ->1    | Sale Amt. ->816.5825        
| Produced ->11     | Thread-4      | Store Id ->4    | Sale Amt. ->53.29386        
| Produced ->12     | Thread-1      | Store Id ->1    | Sale Amt. ->544.55334        
| Consumed ->12     | Thread-6      | Store Id ->3    | Sale Amt. ->109.61589        
| Consumed ->14     | Thread-6      | Store Id ->0    | Sale Amt. ->924.71075        
| Produced ->14     | Thread-4      | Store Id ->4    | Sale Amt. ->766.3919        
| Consumed ->14     | Thread-5      | Store Id ->2    | Sale Amt. ->981.49585        
| Produced ->14     | Thread-3      | Store Id ->3    | Sale Amt. ->368.72128        
| Produced ->15     | Thread-1      | Store Id ->1    | Sale Amt. ->806.4962        
| Consumed ->15     | Thread-5      | Store Id ->1    | Sale Amt. ->685.1518        
| Consumed ->16     | Thread-6      | Store Id ->4    | Sale Amt. ->53.29386        
| Produced ->16     | Thread-0      | Store Id ->0    | Sale Amt. ->73.605286        
| Produced ->17     | Thread-4      | Store Id ->4    | Sale Amt. ->440.6952        
| Consumed ->17     | Thread-5      | Store Id ->1    | Sale Amt. ->544.55334        
| Consumed ->18     | Thread-5      | Store Id ->4    | Sale Amt. ->766.3919        
| Produced ->18     | Thread-1      | Store Id ->1    | Sale Amt. ->592.1829        
| Consumed ->19     | Thread-6      | Store Id ->3    | Sale Amt. ->368.72128        
| Produced ->19     | Thread-2      | Store Id ->2    | Sale Amt. ->52.70825        
| Produced ->20     | Thread-1      | Store Id ->1    | Sale Amt. ->186.6442        
| Consumed ->20     | Thread-5      | Store Id ->1    | Sale Amt. ->806.4962        
| Consumed ->21     | Thread-5      | Store Id ->0    | Sale Amt. ->73.605286        
| Produced ->21     | Thread-2      | Store Id ->2    | Sale Amt. ->342.24606        
| Produced ->22     | Thread-0      | Store Id ->0    | Sale Amt. ->324.98538        
| Consumed ->22     | Thread-6      | Store Id ->4    | Sale Amt. ->440.6952        
| Consumed ->23     | Thread-5      | Store Id ->1    | Sale Amt. ->592.1829        
| Produced ->23     | Thread-0      | Store Id ->0    | Sale Amt. ->813.5491        
| Consumed ->24     | Thread-6      | Store Id ->2    | Sale Amt. ->52.70825        
| Produced ->24     | Thread-1      | Store Id ->1    | Sale Amt. ->203.9221        
| Consumed ->25     | Thread-6      | Store Id ->1    | Sale Amt. ->186.6442        
| Produced ->25     | Thread-2      | Store Id ->2    | Sale Amt. ->281.65506        
| Consumed ->26     | Thread-5      | Store Id ->2    | Sale Amt. ->342.24606        
| Produced ->26     | Thread-2      | Store Id ->2    | Sale Amt. ->252.88641        
| Consumed ->27     | Thread-6      | Store Id ->0    | Sale Amt. ->324.98538        
| Produced ->27     | Thread-4      | Store Id ->4    | Sale Amt. ->628.3157        
| Produced ->28     | Thread-1      | Store Id ->1    | Sale Amt. ->908.75854        
| Consumed ->28     | Thread-5      | Store Id ->0    | Sale Amt. ->813.5491        
| Produced ->29     | Thread-1      | Store Id ->1    | Sale Amt. ->810.9666        
| Consumed ->29     | Thread-6      | Store Id ->1    | Sale Amt. ->203.9221        
| Produced ->30     | Thread-0      | Store Id ->0    | Sale Amt. ->517.9904        
| Consumed ->30     | Thread-5      | Store Id ->2    | Sale Amt. ->281.65506        
| Consumed ->31     | Thread-6      | Store Id ->2    | Sale Amt. ->252.88641        
| Produced ->31     | Thread-2      | Store Id ->2    | Sale Amt. ->517.8632        
| Consumed ->32     | Thread-6      | Store Id ->4    | Sale Amt. ->628.3157        
| Produced ->33     | Thread-2      | Store Id ->2    | Sale Amt. ->640.7688        
| Produced ->33     | Thread-1      | Store Id ->1    | Sale Amt. ->449.82416        
| Consumed ->33     | Thread-5      | Store Id ->1    | Sale Amt. ->908.75854        
| Produced ->34     | Thread-2      | Store Id ->2    | Sale Amt. ->866.56525        
| Consumed ->34     | Thread-5      | Store Id ->1    | Sale Amt. ->810.9666        
| Consumed ->35     | Thread-6      | Store Id ->0    | Sale Amt. ->517.9904        
| Produced ->35     | Thread-1      | Store Id ->1    | Sale Amt. ->946.1796        
| Produced ->36     | Thread-4      | Store Id ->4    | Sale Amt. ->458.92545        
| Consumed ->36     | Thread-5      | Store Id ->2    | Sale Amt. ->517.8632        
| Consumed ->37     | Thread-5      | Store Id ->1    | Sale Amt. ->449.82416        
| Produced ->38     | Thread-2      | Store Id ->2    | Sale Amt. ->390.53217        
| Produced ->38     | Thread-4      | Store Id ->4    | Sale Amt. ->833.93835        
| Consumed ->38     | Thread-6      | Store Id ->2    | Sale Amt. ->640.7688        
| Consumed ->39     | Thread-6      | Store Id ->2    | Sale Amt. ->866.56525        
| Produced ->39     | Thread-3      | Store Id ->3    | Sale Amt. ->375.32562        
| Produced ->40     | Thread-0      | Store Id ->0    | Sale Amt. ->80.13975        
| Consumed ->40     | Thread-6      | Store Id ->1    | Sale Amt. ->946.1796        
| Consumed ->41     | Thread-6      | Store Id ->4    | Sale Amt. ->458.92545        
| Produced ->41     | Thread-4      | Store Id ->4    | Sale Amt. ->391.98157        
| Produced ->42     | Thread-1      | Store Id ->1    | Sale Amt. ->711.8028        
| Consumed ->42     | Thread-5      | Store Id ->4    | Sale Amt. ->833.93835        
| Consumed ->44     | Thread-5      | Store Id ->2    | Sale Amt. ->390.53217        
| Produced ->44     | Thread-1      | Store Id ->1    | Sale Amt. ->74.66196        
| Produced ->44     | Thread-3      | Store Id ->3    | Sale Amt. ->375.05176        
| Consumed ->44     | Thread-6      | Store Id ->3    | Sale Amt. ->375.32562        
| Produced ->45     | Thread-3      | Store Id ->3    | Sale Amt. ->308.17615        
| Consumed ->45     | Thread-5      | Store Id ->0    | Sale Amt. ->80.13975        
| Produced ->46     | Thread-0      | Store Id ->0    | Sale Amt. ->10.449138        
| Consumed ->46     | Thread-6      | Store Id ->4    | Sale Amt. ->391.98157        
| Consumed ->47     | Thread-6      | Store Id ->1    | Sale Amt. ->711.8028        
| Produced ->47     | Thread-1      | Store Id ->1    | Sale Amt. ->663.3139        
| Consumed ->48     | Thread-5      | Store Id ->3    | Sale Amt. ->375.05176        
| Produced ->48     | Thread-3      | Store Id ->3    | Sale Amt. ->199.94707        
| Produced ->49     | Thread-1      | Store Id ->1    | Sale Amt. ->579.92993        
| Consumed ->49     | Thread-5      | Store Id ->1    | Sale Amt. ->74.66196        
| Consumed ->50     | Thread-6      | Store Id ->3    | Sale Amt. ->308.17615        
| Produced ->50     | Thread-3      | Store Id ->3    | Sale Amt. ->384.1682        
| Produced ->51     | Thread-1      | Store Id ->1    | Sale Amt. ->434.3422        
| Consumed ->51     | Thread-5      | Store Id ->0    | Sale Amt. ->10.449138        
| Consumed ->52     | Thread-6      | Store Id ->1    | Sale Amt. ->663.3139        
| Produced ->52     | Thread-0      | Store Id ->0    | Sale Amt. ->579.12024        
| Produced ->53     | Thread-0      | Store Id ->0    | Sale Amt. ->220.69089        
| Consumed ->53     | Thread-6      | Store Id ->3    | Sale Amt. ->199.94707        
| Consumed ->54     | Thread-5      | Store Id ->1    | Sale Amt. ->579.92993        
| Produced ->54     | Thread-2      | Store Id ->2    | Sale Amt. ->399.8375        
| Produced ->55     | Thread-1      | Store Id ->1    | Sale Amt. ->839.2315        
| Consumed ->55     | Thread-5      | Store Id ->3    | Sale Amt. ->384.1682        
| Produced ->56     | Thread-4      | Store Id ->4    | Sale Amt. ->148.20427        
| Consumed ->56     | Thread-6      | Store Id ->1    | Sale Amt. ->434.3422        
| Produced ->57     | Thread-0      | Store Id ->0    | Sale Amt. ->111.86786        
| Consumed ->57     | Thread-6      | Store Id ->0    | Sale Amt. ->579.12024        
| Produced ->58     | Thread-2      | Store Id ->2    | Sale Amt. ->889.36127        
| Consumed ->58     | Thread-6      | Store Id ->0    | Sale Amt. ->220.69089        
| Consumed ->59     | Thread-5      | Store Id ->2    | Sale Amt. ->399.8375        
| Produced ->59     | Thread-3      | Store Id ->3    | Sale Amt. ->809.93646        
| Consumed ->60     | Thread-6      | Store Id ->1    | Sale Amt. ->839.2315        
| Produced ->60     | Thread-1      | Store Id ->1    | Sale Amt. ->600.5355        
| Produced ->61     | Thread-4      | Store Id ->4    | Sale Amt. ->74.43575        
| Consumed ->61     | Thread-6      | Store Id ->4    | Sale Amt. ->148.20427        
| Consumed ->62     | Thread-5      | Store Id ->0    | Sale Amt. ->111.86786        
| Produced ->62     | Thread-0      | Store Id ->0    | Sale Amt. ->951.61414        
| Produced ->63     | Thread-0      | Store Id ->0    | Sale Amt. ->156.62253        
| Consumed ->63     | Thread-6      | Store Id ->2    | Sale Amt. ->889.36127        
| Produced ->64     | Thread-1      | Store Id ->1    | Sale Amt. ->296.72586        
| Consumed ->64     | Thread-5      | Store Id ->3    | Sale Amt. ->809.93646        
| Produced ->65     | Thread-0      | Store Id ->0    | Sale Amt. ->771.0114        
| Consumed ->65     | Thread-6      | Store Id ->1    | Sale Amt. ->600.5355        
| Produced ->66     | Thread-1      | Store Id ->1    | Sale Amt. ->811.7309        
| Consumed ->66     | Thread-6      | Store Id ->4    | Sale Amt. ->74.43575        
| Produced ->67     | Thread-4      | Store Id ->4    | Sale Amt. ->174.59734        
| Consumed ->67     | Thread-5      | Store Id ->0    | Sale Amt. ->951.61414        
| Produced ->68     | Thread-4      | Store Id ->4    | Sale Amt. ->598.6986        
